18:39:54. main() Recv histograms
18:39:54. recv_histograms() Reading histograms 3 count
18:39:54. recv_histograms() Reading histogram #0
18:39:54. recv_histograms() r packet_data_t bytes=24
18:39:54. recv_histograms() readed packet: type=0, size=12000, src_nodeid=2
18:39:54. recv_histograms() r histogram->array bytes=12000
18:39:54. recv_histograms() Reading histogram #1
18:39:55. recv_histograms() r packet_data_t bytes=24
18:39:55. recv_histograms() readed packet: type=0, size=12000, src_nodeid=4
18:39:55. recv_histograms() r histogram->array bytes=12000
18:39:55. recv_histograms() Reading histogram #2
18:39:55. recv_histograms() r packet_data_t bytes=24
18:39:55. recv_histograms() readed packet: type=0, size=12000, src_nodeid=3
18:39:55. recv_histograms() r histogram->array bytes=12000
18:39:55. recv_histograms() Hitograms ok
18:39:55. main() Recv histograms OK
18:39:55. print_histogram() [213206409]=[99000, 99999), 
18:39:55. print_histogram() [215267663]=[100000, 100999), 
18:39:55. print_histogram() [217495486]=[101000, 101999), 
18:39:55. print_histogram() [219647679]=[102000, 102999), 
18:39:55. print_histogram() [221844280]=[103000, 103999), 
18:39:55. print_histogram() [224045232]=[104000, 104999), 
18:39:55. print_histogram() [226165656]=[105000, 105999), 
18:39:55. print_histogram() [228280343]=[106000, 106999), 
18:39:55. print_histogram() [230434007]=[107000, 107999), 
18:39:55. print_histogram() [232633855]=[108000, 108999), 
18:39:55. print_histogram() [234853533]=[109000, 109999), 
18:39:55. print_histogram() [236979783]=[110000, 110999), 
18:39:55. print_histogram() [239083904]=[111000, 111999), 
18:39:55. print_histogram() [241207005]=[112000, 112999), 
18:39:55. print_histogram() [243394816]=[113000, 113999), 
18:39:55. print_histogram() [245646253]=[114000, 114999), 
18:39:55. print_histogram() [247886092]=[115000, 115999), 
18:39:55. print_histogram() [250073171]=[116000, 116999), 
18:39:55. print_histogram() [252278691]=[117000, 117999), 
18:39:55. print_histogram() [254474769]=[118000, 118999), 
18:39:55. print_histogram() [256542264]=[119000, 119999), 
18:39:55. print_histogram() [258676374]=[120000, 120999), 
18:39:55. print_histogram() [260782110]=[121000, 121999), 
18:39:55. print_histogram() [262994525]=[122000, 122999), 
18:39:55. print_histogram() [265187670]=[123000, 123999), 
18:39:55. print_histogram() [267310619]=[124000, 124999), 
18:39:55. print_histogram() [269492103]=[125000, 125999), 
18:39:55. print_histogram() [271587305]=[126000, 126999), 
18:39:55. print_histogram() [273676128]=[127000, 127999), 
18:39:55. print_histogram() [275852623]=[128000, 128999), 
18:39:55. print_histogram() [277970667]=[129000, 129999), 
18:39:55. print_histogram() [280028089]=[130000, 130999), 
18:39:55. print_histogram() [282132313]=[131000, 131999), 
18:39:55. print_histogram() [284263587]=[132000, 132999), 
18:39:55. print_histogram() [286484049]=[133000, 133999), 
18:39:55. print_histogram() [288792918]=[134000, 134999), 
18:39:55. print_histogram() [290862855]=[135000, 135999), 
18:39:55. print_histogram() [293102458]=[136000, 136999), 
18:39:55. print_histogram() [295200131]=[137000, 137999), 
18:39:55. print_histogram() [297365598]=[138000, 138999), 
18:39:55. print_histogram() [299429968]=[139000, 139999), 
18:39:55. print_histogram() [301549380]=[140000, 140999), 
18:39:55. print_histogram() [303800093]=[141000, 141999), 
18:39:55. print_histogram() [305985383]=[142000, 142999), 
18:39:55. print_histogram() [308008035]=[143000, 143999), 
18:39:55. print_histogram() [310144426]=[144000, 144999), 
18:39:55. print_histogram() [312342679]=[145000, 145999), 
18:39:55. print_histogram() [314506810]=[146000, 146999), 
18:39:55. print_histogram() [316627844]=[147000, 147999), 
18:39:55. print_histogram() [318855794]=[148000, 148999), 
18:39:55. print_histogram() [321010012]=[149000, 149999), 
18:39:55. print_histogram() [323112934]=[150000, 150999), 
18:39:55. print_histogram() [325223058]=[151000, 151999), 
18:39:55. print_histogram() [327303102]=[152000, 152999), 
18:39:55. print_histogram() [329510006]=[153000, 153999), 
18:39:55. print_histogram() [331735697]=[154000, 154999), 
18:39:55. print_histogram() [333930534]=[155000, 155999), 
18:39:55. print_histogram() [336114151]=[156000, 156999), 
18:39:55. print_histogram() [338302880]=[157000, 157999), 
18:39:55. print_histogram() [340445006]=[158000, 158999), 
18:39:55. print_histogram() [342570544]=[159000, 159999), 
18:39:55. print_histogram() [344719271]=[160000, 160999), 
18:39:55. print_histogram() [346831174]=[161000, 161999), 
18:39:55. print_histogram() [349053270]=[162000, 162999), 
18:39:55. print_histogram() [351061520]=[163000, 163999), 
18:39:55. print_histogram() [353164138]=[164000, 164999), 
18:39:55. print_histogram() [355242648]=[165000, 165999), 
18:39:55. print_histogram() [357451491]=[166000, 166999), 
18:39:55. print_histogram() [359633603]=[167000, 167999), 
18:39:55. print_histogram() [361628075]=[168000, 168999), 
18:39:55. print_histogram() [364051023]=[169000, 169999), 
18:39:55. print_histogram() [366190383]=[170000, 170999), 
18:39:55. print_histogram() [368465817]=[171000, 171999), 
18:39:55. print_histogram() [370597445]=[172000, 172999), 
18:39:55. print_histogram() [372736763]=[173000, 173999), 
18:39:55. print_histogram() [374985273]=[174000, 174999), 
18:39:55. print_histogram() [377154365]=[175000, 175999), 
18:39:55. print_histogram() [379325352]=[176000, 176999), 
18:39:55. print_histogram() [381515782]=[177000, 177999), 
18:39:55. print_histogram() [383622369]=[178000, 178999), 
18:39:55. print_histogram() [385839555]=[179000, 179999), 
18:39:55. print_histogram() [388004546]=[180000, 180999), 
18:39:55. print_histogram() [390198299]=[181000, 181999), 
18:39:55. print_histogram() [392378421]=[182000, 182999), 
18:39:55. print_histogram() [394676658]=[183000, 183999), 
18:39:55. print_histogram() [396903397]=[184000, 184999), 
18:39:55. print_histogram() [399041782]=[185000, 185999), 
18:39:55. print_histogram() [401218803]=[186000, 186999), 
18:39:55. print_histogram() [403411707]=[187000, 187999), 
18:39:55. print_histogram() [405444229]=[188000, 188999), 
18:39:55. print_histogram() [407601506]=[189000, 189999), 
18:39:55. print_histogram() [409722886]=[190000, 190999), 
18:39:55. print_histogram() [411828452]=[191000, 191999), 
18:39:55. print_histogram() [413966051]=[192000, 192999), 
18:39:55. print_histogram() [416066433]=[193000, 193999), 
18:39:55. print_histogram() [418221819]=[194000, 194999), 
18:39:55. print_histogram() [420428681]=[195000, 195999), 
18:39:55. print_histogram() [422579220]=[196000, 196999), 
18:39:55. print_histogram() [424694611]=[197000, 197999), 
18:39:55. print_histogram() [426877547]=[198000, 198999), 
18:39:55. print_histogram() [429208664]=[199000, 199999), 
18:39:55. print_histogram() [431309042]=[200000, 200999), 
18:39:55. print_histogram() [433557936]=[201000, 201999), 
18:39:55. print_histogram() [435663161]=[202000, 202999), 
18:39:55. print_histogram() [437853480]=[203000, 203999), 
18:39:55. print_histogram() [440075901]=[204000, 204999), 
18:39:55. print_histogram() [442065043]=[205000, 205999), 
18:39:55. print_histogram() [444266450]=[206000, 206999), 
18:39:55. print_histogram() [446404238]=[207000, 207999), 
18:39:55. print_histogram() [448529853]=[208000, 208999), 
18:39:55. print_histogram() [450701289]=[209000, 209999), 
18:39:55. print_histogram() [452847241]=[210000, 210999), 
18:39:55. print_histogram() [455126005]=[211000, 211999), 
18:39:55. print_histogram() [457177072]=[212000, 212999), 
18:39:55. print_histogram() [459302153]=[213000, 213999), 
18:39:55. print_histogram() [461463300]=[214000, 214999), 
18:39:55. print_histogram() [463650281]=[215000, 215999), 
18:39:55. print_histogram() [465706091]=[216000, 216999), 
18:39:55. print_histogram() [467890335]=[217000, 217999), 
18:39:55. print_histogram() [469982876]=[218000, 218999), 
18:39:55. print_histogram() [472076438]=[219000, 219999), 
18:39:55. print_histogram() [474157898]=[220000, 220999), 
18:39:55. print_histogram() [476322393]=[221000, 221999), 
18:39:55. print_histogram() [478540258]=[222000, 222999), 
18:39:55. print_histogram() [480674701]=[223000, 223999), 
18:39:55. print_histogram() [482856332]=[224000, 224999), 
18:39:55. print_histogram() [484988280]=[225000, 225999), 
18:39:55. print_histogram() [487108776]=[226000, 226999), 
18:39:55. print_histogram() [489275017]=[227000, 227999), 
18:39:55. print_histogram() [491448531]=[228000, 228999), 
18:39:55. print_histogram() [493506542]=[229000, 229999), 
18:39:55. print_histogram() [495633859]=[230000, 230999), 
18:39:55. print_histogram() [497809166]=[231000, 231999), 
18:39:55. print_histogram() [500006389]=[232000, 232999), 
18:39:55. print_histogram() [502222897]=[233000, 233999), 
18:39:55. print_histogram() [504322590]=[234000, 234999), 
18:39:55. print_histogram() [506331917]=[235000, 235999), 
18:39:55. print_histogram() [508484176]=[236000, 236999), 
18:39:55. print_histogram() [510482179]=[237000, 237999), 
18:39:55. print_histogram() [512652448]=[238000, 238999), 
18:39:55. print_histogram() [514721038]=[239000, 239999), 
18:39:55. print_histogram() [516795290]=[240000, 240999), 
18:39:55. print_histogram() [519006036]=[241000, 241999), 
18:39:55. print_histogram() [521160662]=[242000, 242999), 
18:39:55. print_histogram() [523372424]=[243000, 243999), 
18:39:55. print_histogram() [525584485]=[244000, 244999), 
18:39:55. print_histogram() [527629512]=[245000, 245999), 
18:39:55. print_histogram() [529761074]=[246000, 246999), 
18:39:55. print_histogram() [531967182]=[247000, 247999), 
18:39:55. print_histogram() [534114444]=[248000, 248999), 
18:39:55. print_histogram() [536354944]=[249000, 249999), 
18:39:55. print_histogram() [538508045]=[250000, 250999), 
18:39:55. print_histogram() [540813023]=[251000, 251999), 
18:39:55. print_histogram() [542978133]=[252000, 252999), 
18:39:55. print_histogram() [545017933]=[253000, 253999), 
18:39:55. print_histogram() [547042778]=[254000, 254999), 
18:39:55. print_histogram() [549257817]=[255000, 255999), 
18:39:55. print_histogram() [551405514]=[256000, 256999), 
18:39:55. print_histogram() [553486617]=[257000, 257999), 
18:39:55. print_histogram() [555578627]=[258000, 258999), 
18:39:55. print_histogram() [557690272]=[259000, 259999), 
18:39:55. print_histogram() [559739039]=[260000, 260999), 
18:39:55. print_histogram() [561820080]=[261000, 261999), 
18:39:55. print_histogram() [563966880]=[262000, 262999), 
18:39:55. print_histogram() [566101545]=[263000, 263999), 
18:39:55. print_histogram() [568279213]=[264000, 264999), 
18:39:55. print_histogram() [570423307]=[265000, 265999), 
18:39:55. print_histogram() [572578678]=[266000, 266999), 
18:39:55. print_histogram() [574746647]=[267000, 267999), 
18:39:55. print_histogram() [576952969]=[268000, 268999), 
18:39:55. print_histogram() [579018165]=[269000, 269999), 
18:39:55. print_histogram() [581106012]=[270000, 270999), 
18:39:55. print_histogram() [583295871]=[271000, 271999), 
18:39:55. print_histogram() [585557065]=[272000, 272999), 
18:39:55. print_histogram() [587695154]=[273000, 273999), 
18:39:55. print_histogram() [589921425]=[274000, 274999), 
18:39:55. print_histogram() [592068530]=[275000, 275999), 
18:39:55. print_histogram() [594118766]=[276000, 276999), 
18:39:55. print_histogram() [596267161]=[277000, 277999), 
18:39:55. print_histogram() [598441110]=[278000, 278999), 
18:39:55. print_histogram() [600531689]=[279000, 279999), 
18:39:55. print_histogram() [602673052]=[280000, 280999), 
18:39:55. print_histogram() [604851911]=[281000, 281999), 
18:39:55. print_histogram() [606896982]=[282000, 282999), 
18:39:55. print_histogram() [609153813]=[283000, 283999), 
18:39:55. print_histogram() [611355717]=[284000, 284999), 
18:39:55. print_histogram() [613541444]=[285000, 285999), 
18:39:55. print_histogram() [615734293]=[286000, 286999), 
18:39:55. print_histogram() [617878901]=[287000, 287999), 
18:39:55. print_histogram() [619915483]=[288000, 288999), 
18:39:55. print_histogram() [621987934]=[289000, 289999), 
18:39:55. print_histogram() [624052404]=[290000, 290999), 
18:39:55. print_histogram() [626243852]=[291000, 291999), 
18:39:55. print_histogram() [628404493]=[292000, 292999), 
18:39:55. print_histogram() [630663255]=[293000, 293999), 
18:39:55. print_histogram() [632824128]=[294000, 294999), 
18:39:55. print_histogram() [634961518]=[295000, 295999), 
18:39:55. print_histogram() [637117518]=[296000, 296999), 
18:39:55. print_histogram() [639293226]=[297000, 297999), 
18:39:55. print_histogram() [641480933]=[298000, 298999), 
18:39:55. print_histogram() [643633026]=[299000, 299999), 
18:39:55. print_histogram() [645753833]=[300000, 300999), 
18:39:55. print_histogram() [647951998]=[301000, 301999), 
18:39:55. print_histogram() [650092806]=[302000, 302999), 
18:39:55. print_histogram() [652207127]=[303000, 303999), 
18:39:55. print_histogram() [654357734]=[304000, 304999), 
18:39:55. print_histogram() [656455020]=[305000, 305999), 
18:39:55. print_histogram() [658605817]=[306000, 306999), 
18:39:55. print_histogram() [660691202]=[307000, 307999), 
18:39:55. print_histogram() [662815440]=[308000, 308999), 
